"Menu","Resto","Nutri score","Eco score","Vegetarien spcécifé","Origine","Prix etudiant","Prix doctorant","Prix visiteur","Prix campus","Prix /100g","Prix etudiant /100g","Prix unique","Prix demi portion","Prix (non traité)","date"
"Fresh pasta ""Maison"" Carbonara with bacon, julienne of ham and candied onionsOrigin: CH","PUUR","b+","e","","CH","","","","","","","13.90","","13.90 CHF","6/13/2022"
"Beef entrecote with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","19.90","","19.90 CHF","6/13/2022"
"Penne alla Calabrese and eggplant chips vegetarian","Piano","b+","c","1","","8","9","12","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","6/13/2022"
"Grilled pork chop with apricots, sautéed potatoes and vegetablesOrigin: CH","Piano","a","e","","CH","12.5","13.5","14","13.5","","","","","E 12.50 CHFD 13.50 CHFC 13.50 CHFV 14.00 CHF","6/13/2022"
"Our pizza menu:
Varied assortment (4 seasons, Queen, buffalina...)Origin: CH","Piano","b-","e","","CH","","","","","","","13.50","","13.50 CHF","6/13/2022"
"Hot buffet of the moment:
Assorted vegetables, ravioli, braised meats, gratin...Origin: CH","Piano","b-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/13/2022"
"Piadina Goat nut vegetarian","Piano","b+","d","1","","5.5","7","9","8","","","","","E 5.50 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","6/13/2022"
"Cold buffet of the moment:
Assortment of raw vegetables, cooked, starch, pizzas, proteins...Origin: CH","Piano","a-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/13/2022"
"green saladFresh fruit of your choicePenne alla Calabrese and eggplant chips vegetarian","Piano","d-","b","1","","9","11","13.5","12","","","","","E 9.00 CHFD 11.00 CHFC 12.00 CHFV 13.50 CHF","6/13/2022"
"Quiche au thon
Salade du jour","Alpine","d+","d","","","7.5","8","10","9","","","","","E 7.50 CHFD 8.00 CHFC 9.00 CHFV 10.00 CHF","6/14/2022"
"Quiche au thon
Salade du jour","Alpine","d+","d","","","7.5","8","10","9","","","","","E 7.50 CHFD 8.00 CHFC 9.00 CHFV 10.00 CHF","6/14/2022"
"Tian à la provençale
Vegetables of the sun and potatoes au gratin vegetarian","Alpine","a-","c","1","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","6/14/2022"
"Shrimp skewers
Hot sauce ""khao pat
Fried rice with vegetables","Alpine","a","d","","","11.5","12","13.5","12.5","","","","","D 12.00 CHFE 11.50 CHFC 12.50 CHFV 13.50 CHF","6/14/2022"
"Swiss Veal Sausage
Green pepper sauce
Risolated apples
sautéed vegetables","Alpine","b","d","","","10.5","11","12.5","11.5","","","","","E 10.50 CHFD 11.00 CHFC 11.50 CHFV 12.50 CHF","6/14/2022"
"Cappelletti with raw ham, San Marzano tomato and basil sauceOrigin: Suisse","Arcadie","b+","c","","Suisse","","","","","2.3","","","","2.30 CHF/100g","6/14/2022"
"Fusilli with Mediterranean vegetables, pesto rosso and spinach shootsOrigin: Suisse vegetarian","Arcadie","b-","c","1","Suisse vegetarian","","","","","","","12.00","","12.00 CHF","6/14/2022"
"Farfalle gratin with gorgonzola sauce, chard ribs, baby spinach and onions vegetarian","Arcadie","a","c","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","6/14/2022"
"Orecchiette au pesto verde, mozzarella, tomates, haricots vert et amandes grilléesOrigin: Suisse vegetarian","Arcadie","a","d","1","Suisse vegetarian","","","","","","","12.00","","12.00 CHF","6/14/2022"
"Rosti pizza
With braised vegetables
Organic egg
Mixed salad vegetarian","Campus Biotech","a-","c","1","","","","","","","","11.00","","11.00 CHF","6/14/2022"
"Spiced rice with spinach and coconut vegetables vegetarian","Epicure","b-","c","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","6/14/2022"
"[WEEKLY WRAP]
Eggplant, goat cheese, chutney, omelet, salad and nuts vegetarian","Epicure","","","1","","","","","","","","","","Epicure","6/14/2022"
"[EPICURE'S SMALL SALAD BAR]
Novae's salad mix, 3 vegetables or raw vegetables, 1 protein and your choice of dressing","Epicure","","","","","6.9","7.5","8.5","7.9","","","","","E 6.90 CHFD 7.50 CHFC 7.90 CHFV 8.50 CHF","6/14/2022"
"[EPICURE'S BIG SALAD BAR]
Novae's salad mix, 5 vegetables or raw vegetables, 2 proteins and a choice of dressing","Epicure","","","","","12","12.5","14","13","","","","","E 12.00 CHFD 12.50 CHFC 13.00 CHFV 14.00 CHF","6/14/2022"
"[The Chef's gourmet recipes]
Croque-monsieur, savory cake, veggie quiche, sweet cake, crumble, brownies","Epicure","","","","","","","","","","","","","Epicure","6/14/2022"
"Salade FALAFEL:
Salade, Falafel, Carottes, Concombre, Yogourt, Olives, Pita, Coriandre vegetarian","Giacometti","b+","d","1","","","","","","","","8.00","","8.00 CHF","6/14/2022"
"Salade CRUNCHY CHICKEN:
Salade, Poulet croustillant, parmesan, croutons, oignons, Tomates, Ciboulette, carottes râpéesOrigin: CH","Giacometti","b+","e","","CH","","","","","","","8.00","","8.00 CHF","6/14/2022"
"Salade ITALIENNE:
Salade, Mozzarella, Tomates, Olives, Penne, Basilic, Croutons, Pesto vegetarian","Giacometti","b+","d","1","","","","","","","","8.00","","8.00 CHF","6/14/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)Origin: CH","Giacometti","b-","e","","CH","","","","","","","7.00","","7.00 CHF","6/14/2022"
"Mac nd Cheese and green salad vegetarian","Hopper","b+","c","1","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","6/14/2022"
"BBQ of the day:
Chicken drumstick with our salad barOrigin: CH","Hopper","b","c","","CH","","","","","","","14.90","","14.90 CHF","6/14/2022"
"BBQ of the day:
Pork sausage with our salad barOrigin: CH","Hopper","d-","e","","CH","","","","","","","14.90","","14.90 CHF","6/14/2022"
"Féra fritter
Whole grain organic rice
Braised endives
Tartar sauceOrigin: CH","La Ruche","a+","c","","CH","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","6/14/2022"
"Potato and onion custard
Mesclun and pan-fried zucchini","La Ruche","a","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/14/2022"
"Ravioli ricotta/épinards","La Ruche","a-","d","","","7","10.5","10.5","10.5","","","","","E 7.00 CHFD 10.50 CHFC 10.50 CHFV 10.50 CHF","6/14/2022"
"[Big Burger]
Corn bun, beef, candied onions, tomato, raclette cheese, saladOrigin: Boeuf CH","La Table de Vallotton by Novae","b","c","","Boeuf CH","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/14/2022"
"[Big Veggie Burger]
Corn buns, barbecue planted, onions, tomato, raclette cheese and salad vegetarian","La Table de Vallotton by Novae","b+","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/14/2022"
"[Pasta du Chef]
Penne Rigate N°73, basil and almond pesto, local cured ham, parmesan shavings and Caulys sproutsOrigin: Porc/Suisse","La Table de Vallotton by Novae","b-","c","","Porc/Suisse","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/14/2022"
"[Pasta by Veggie Chef]
Penne Rigate N°73,
basil and almond pesto, parmesan shavings and Caulys sprouts vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/14/2022"
"[Chef's Casserole] Pork cheeks braised in red wine, ratatouille and roasted potatoesOrigin: Porc : CH","La Table de Vallotton by Novae","b","e","","Porc : CH","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","6/14/2022"
"[Veggie Chef's Casserole] Potato Gnocchi, Cream of Asparagus and Caulys Sprouts vegetarian","La Table de Vallotton by Novae","c+","a","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/14/2022"
"[Chef's salad] Rampon, smoked bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigretteOrigin: Porc - Suisse","La Table de Vallotton by Novae","c+","c","","Porc - Suisse","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","6/14/2022"
"[Veggie Chef Salad] Rampon, quorn bacon, country bread croutons, hard boiled eggs vegetarian","La Table de Vallotton by Novae","b-","a","1","","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","6/14/2022"
"Asian salad with beef gyozas, rice vermicelli and fried vegetables","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","6/14/2022"
"Tandoori chicken, Basmati rice, Raita","Maharaja - Food Truck","b-","e","","","","","","","","","11.50","","11.50 CHF","6/14/2022"
"Vindaloo BeefOrigin: Suisse","Maharaja - Food Truck","c","e","","Suisse","","","","","","","13.50","","13.50 CHF","6/14/2022"
"Student","Maharaja - Food Truck","b","d","","","6.5","","","","","","E 6.50","","E 6.50 CHF","6/14/2022"
"Sweet potato with coconut milk, Basmati rice, Raita vegetarian","Maharaja - Food Truck","b","d","1","","","","","","","","","","Maharaja - Food Truck","6/14/2022"
"Mixed vegetables","Maharaja - Food Truck","a","d","","","","","","","","","","","Maharaja - Food Truck","6/14/2022"
"Yellow curry shrimp, basmati rice, Thai vegetables","Microcity","a-","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/14/2022"
"Vegetable teriyaki, sesame rice and glazed gyoza
 vegetarian","Microcity","a-","b","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/14/2022"
"[Basque Panini] Bacon, mozzarella, feta, olive piperade, tomato quorn and green saladOrigin: Suisse","Microcity","a-","c","","Suisse","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","6/14/2022"
"[Italian Salad] Tomatoes, mozzarella di Bufala, vegetable bruschetta and pesto rosso","Microcity","a","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","6/14/2022"
"Vegan and Vegetarian Buffet Hot and Cold
Salad, Legumes, Cereals,
Roots, Fresh vegetables, Mushrooms
Origin: suisse vegetarian","Native","a-","b","1","suisse vegetarian","","","","","2.3","","","","2.30 CHF/100g","6/14/2022"
"Galette du Chef
(Bacon grillé, pommes de terre, épinards et oignons confits)Origin: CH","Niki","b-","e","","CH","","","","","","","8.50","","8.50 CHF","6/14/2022"
"Galette végé du Chef
(Légumes grillés , champignons, épinards et oignons confits) vegetarian","Niki","b-","d","1","","","","","","","","8.50","","8.50 CHF","6/14/2022"
"Gaufre aux tomates confites, caviar d'aubergines, pousses d'épinards et copeaux de parmesan vegetarian","Niki","b","d","1","","","","","","","","8.50","","8.50 CHF","6/14/2022"
"Butcher's brochette (beef and veal), grilled zucchini and French friesOrigin: Suisse","Ornithorynque","b","d","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","6/14/2022"
"Wok of rice sautéed Cantonese style, soy and peanuts
	
 vegetarian","Ornithorynque","a-","c","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","6/14/2022"
"Quiche à la ricotta et aux épinards, salade verte vegetarian","Ornithorynque","a-","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","6/14/2022"
"[Calzone du chef] Légumes grillés, ricotta, tomate et basilic vegetarian","Ornithorynque","b+","c","1","","9","9.5","11","10","","","","","E 9.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","6/14/2022"
"Samosa with vegetables and soy sauce, noodle nest and Chinese cabbage salad vegetarian","PUUR","c","d","1","","","","","","","","15.90","","15.90 CHF","6/14/2022"
"Pork neck steak with sage risoni with basil and eggplant tomatoOrigin: CH","PUUR","d+","d","","CH","","","","","","","14.90","","14.90 CHF","6/14/2022"
"Homemade fresh pasta with goat cream, crunchy summer vegetables, Grana Padano cheese and toasted nuts","PUUR","a","d","","","","","","","13.9","","","","13.90 CHF/100g","6/14/2022"
"Beef entrecote with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","19.90","","19.90 CHF","6/14/2022"
"Risotto with asparagus duo vegetarian","Piano","b","c","1","","8","9","12","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","6/14/2022"
"Italian marinated turkey breast with garlic spaghetti and candied peppersOrigin: ch","Piano","d","d","","ch","12.5","13.5","14","13.5","","","","","E 12.50 CHFD 13.50 CHFC 13.50 CHFV 14.00 CHF","6/14/2022"
"Grilled white meat:
Chicken picata, fries and saladOrigin: CH","Piano","b","e","","CH","","","","","","","13.50","","13.50 CHF","6/14/2022"
"Grillade Rouge:
Tagliata de boeuf frite saladeOrigin: CH","Piano","b","e","","CH","","","","","","","15.50","","15.50 CHF","6/14/2022"
"Grillade Végétarienne:
Steak de légumes  vegetarian","Piano","b","c","1","","","","","","","","8.50","","8.50 CHF","6/14/2022"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)Origin: CH","Piano","b-","e","","CH","","","","","","","13.50","","13.50 CHF","6/14/2022"
"Buffet chaud du moment:
Assortiment de légumes, ravioles, viandes braisées, gratin...Origin: CH","Piano","b-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/14/2022"
"Pasta casserole Norma and mozzarella vegetarian","Piano","b","d","1","","5.5","7","9","8","","","","","E 5.50 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","6/14/2022"
"Buffet froid du moment:
Assortiment de crudités, cuidités, féculent,pizzas, protéines...Origin: CH","Piano","a-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/14/2022"
"Salade verte Fruits frais au choixRisotto with fried asparagus and arugula vegetarian","Piano","a-","c","1","","9","11","13.5","12","","","","","E 9.00 CHFD 11.00 CHFC 12.00 CHFV 13.50 CHF","6/14/2022"
"Quiche au thon
Salade du jour","Alpine","d+","d","","","7.5","8","10","9","","","","","E 7.50 CHFD 8.00 CHFC 9.00 CHFV 10.00 CHF","6/15/2022"
"Penne Rigate
Grilled vegetable sauce
parmesan shavings","Alpine","a-","c","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","6/15/2022"
"Swiss Chicken with Pineapple
Wheat noodles sautéed with vegetables","Alpine","a","d","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","6/15/2022"
"Swiss Beef Burger
Sesame bun
French Fries
Toppings","Alpine","b","d","","","13.5","14","15.5","14.5","","","","","E 13.50 CHFD 14.00 CHFC 14.50 CHFV 15.50 CHF","6/15/2022"
"Cappelletti with raw ham, San Marzano tomato and basil sauceOrigin: Suisse","Arcadie","b+","c","","Suisse","","","","","2.3","","","","2.30 CHF/100g","6/15/2022"
"Fusilli with Mediterranean vegetables, pesto rosso and spinach shootsOrigin: Suisse vegetarian","Arcadie","b","c","1","Suisse vegetarian","","","","","","","12.00","","12.00 CHF","6/15/2022"
"Farfalle gratin with gorgonzola sauce, chard ribs, baby spinach and onions vegetarian","Arcadie","a","c","1","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","6/15/2022"
"Orecchiette au pesto verde, mozzarella, tomates, haricots vert et amandes grilléesOrigin: Suisse vegetarian","Arcadie","a","d","1","Suisse vegetarian","","","","","","","12.00","","12.00 CHF","6/15/2022"
"MSC Tuna Steak
Strawberry clery sauce
Rice noodles
Eat-All Julienne","Campus Biotech","a","d","","","","","","","","","11.00","","11.00 CHF","6/15/2022"
"Couscous of vegetables with olive oil and lemon vegetarian","Epicure","a-","a","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","6/15/2022"
"[WEEKLY WRAP]
Eggplant, goat cheese, chutney, omelet, salad and nuts vegetarian","Epicure","","","1","","","","","","","","","","Epicure","6/15/2022"
"[EPICURE'S SMALL SALAD BAR]
Novae's salad mix, 3 vegetables or raw vegetables, 1 protein and your choice of dressing","Epicure","","","","","6.9","7.5","8.5","7.9","","","","","E 6.90 CHFD 7.50 CHFC 7.90 CHFV 8.50 CHF","6/15/2022"
"[EPICURE'S BIG SALAD BAR]
Novae's salad mix, 5 vegetables or raw vegetables, 2 proteins and a choice of dressing","Epicure","","","","","12","12.5","14","13","","","","","E 12.00 CHFD 12.50 CHFC 13.00 CHFV 14.00 CHF","6/15/2022"
"[The Chef's gourmet recipes]
Croque-monsieur, savory cake, veggie quiche, sweet cake, crumble, brownies","Epicure","","","","","","","","","","","","","Epicure","6/15/2022"
"Salade FALAFEL:
Salade, Falafel, Carottes, Concombre, Yogourt, Olives, Pita, Coriandre vegetarian","Giacometti","b+","d","1","","","","","","","","8.00","","8.00 CHF","6/15/2022"
"Salade CRUNCHY CHICKEN:
Salade, Poulet croustillant, parmesan, croutons, oignons, Tomates, Ciboulette, carottes râpéesOrigin: CH","Giacometti","b+","e","","CH","","","","","","","8.00","","8.00 CHF","6/15/2022"
"Salade ITALIENNE:
Salade, Mozzarella, Tomates, Olives, Penne, Basilic, Croutons, Pesto vegetarian","Giacometti","b+","d","1","","","","","","","","8.00","","8.00 CHF","6/15/2022"
"Notre gamme de sandwichs:
Assortiment varié (Dinde fumée, tomate mozza...)Origin: CH","Giacometti","b-","e","","CH","","","","","","","7.00","","7.00 CHF","6/15/2022"
"Green lentil dhal with coconut curry","Hopper","a","d","","","7.5","9","12","10","","","","","E 7.50 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","6/15/2022"
"BBQ du jour:
Pilon de poulet accompagné de notre buffet de saladeOrigin: CH","Hopper","b","c","","CH","","","","","","","14.90","","14.90 CHF","6/15/2022"
"BBQ of the day:
Beef steak with our salad barOrigin: CH","Hopper","a-","e","","CH","","","","","","","14.90","","14.90 CHF","6/15/2022"
"Wheat Risotto
Feta cheese, peppers and fresh herbs","La Ruche","a-","c","","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/15/2022"
"Chicken Cordon Bleu
Vegetable Purée
Sweet potato wedgesOrigin: CH","La Ruche","a+","d","","CH","11","12","14","13","","","","","E 11.00 CHFD 12.00 CHFC 13.00 CHFV 14.00 CHF","6/15/2022"
"Lasagne BolognaiseOrigin: CH","La Ruche","b-","e","","CH","7.5","10.5","10.5","10.5","","","","","E 7.50 CHFD 10.50 CHFC 10.50 CHFV 10.50 CHF","6/15/2022"
"[Big Burger]
Corn bun, beef, candied onions, tomato, raclette cheese, saladOrigin: Boeuf CH","La Table de Vallotton by Novae","b","c","","Boeuf CH","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/15/2022"
"[Big Veggie Burger]
Corn buns, barbecue planted, onions, tomato, raclette cheese and salad vegetarian","La Table de Vallotton by Novae","b+","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/15/2022"
"[Pasta du Chef]
Penne Rigate N°73, basil and almond pesto, local cured ham, parmesan shavings and Caulys sproutsOrigin: Porc/Suisse","La Table de Vallotton by Novae","b-","c","","Porc/Suisse","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/15/2022"
"[Pasta by Veggie Chef]
Penne Rigate N°73,
basil and almond pesto, parmesan shavings and Caulys sprouts vegetarian","La Table de Vallotton by Novae","a-","b","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/15/2022"
"[Cocotte du chef] Joues de porc braisées au vin rouge, ratatouille et pommes de terre grenaille rôtiesOrigin: Porc : CH","La Table de Vallotton by Novae","b","e","","Porc : CH","14","17","17","17","","","","","E 14.00 CHFD 17.00 CHFC 17.00 CHFV 17.00 CHF","6/15/2022"
"[Veggie Chef's Casserole] Potato Gnocchi, Cream of Asparagus and Caulys Sprouts vegetarian","La Table de Vallotton by Novae","c+","a","1","","10","13","13","13","","","","","E 10.00 CHFD 13.00 CHFC 13.00 CHFV 13.00 CHF","6/15/2022"
"[Chef's salad] Rampon, smoked bacon, hard-boiled eggs, country bread croutons, old-fashioned mustard vinaigretteOrigin: Porc - Suisse","La Table de Vallotton by Novae","c+","c","","Porc - Suisse","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","6/15/2022"
"[Veggie Chef Salad] Rampon, quorn bacon, country bread croutons, hard boiled eggs vegetarian","La Table de Vallotton by Novae","b-","a","1","","16","19","19","19","","","","","E 16.00 CHFD 19.00 CHFC 19.00 CHFV 19.00 CHF","6/15/2022"
"Salade asiatiaque au gyozas de boeuf, vermicelles de riz et légumes sautées thaï","Le Klee by Novae","b","c","","","5.5","6.5","8","7","","","","","E 5.50 CHFD 6.50 CHFC 7.00 CHFV 8.00 CHF","6/15/2022"
"Spit-roasted half chicken, Niçoise-style potatoes
Origin: Suisse","Microcity","a-","c","","Suisse","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/15/2022"
"Sun-dried tomato and green asparagus quiche with grilled potatoes
 vegetarian","Microcity","a-","a","1","","10","11","13","12","","","","","E 10.00 CHFD 11.00 CHFC 12.00 CHFV 13.00 CHF","6/15/2022"
"[Basque Panini] Bacon, mozzarella, feta, olive piperade, tomato quorn and green saladOrigin: Suisse","Microcity","a-","c","","Suisse","7.5","8","9","8.5","","","","","E 7.50 CHFD 8.00 CHFC 8.50 CHFV 9.00 CHF","6/15/2022"
"[Italian Salad] Tomatoes, mozzarella di Bufala, vegetable bruschetta and pesto rosso","Microcity","a","b","","","12","12","12","12","","","","","E 12.00 CHFD 12.00 CHFC 12.00 CHFV 12.00 CHF","6/15/2022"
"Aïoli d'aiglefin","Montreux Jazz Café","e","d","","","","","","","","","","","22.00 CHFStarter/main course25.00 CHFStarter/main course/dessert28.00 CHF","6/15/2022"
"Buffet Vegan et Végétarien Froid et chaud
Salade, Légumineuses, Céréales, 
Racines, Légumes frais, Champignons
Origin: suisse vegetarian","Native","a-","b","1","suisse vegetarian","","","","","2.3","","","","2.30 CHF/100g","6/15/2022"
"Galette du Chef
(Bacon grillé, pommes de terre, épinards et oignons confits)Origin: CH","Niki","b-","e","","CH","","","","","","","8.50","","8.50 CHF","6/15/2022"
"Galette végé du Chef
(Légumes grillés , champignons, épinards et oignons confits) vegetarian","Niki","b-","d","1","","","","","","","","8.50","","8.50 CHF","6/15/2022"
"Gaufre aux tomates confites, caviar d'aubergines, pousses d'épinards et copeaux de parmesan vegetarian","Niki","b","d","1","","","","","","","","8.50","","8.50 CHF","6/15/2022"
"Turkey cordon bleu with vacherin, sweet potato and peas
	
Origin: Suisse","Ornithorynque","a-","d","","Suisse","12","13","15","14","","","","","E 12.00 CHFD 13.00 CHFC 14.00 CHFV 15.00 CHF","6/15/2022"
"Fusilli alla Norma Gratin vegetarian","Ornithorynque","a-","c","1","","6.5","7.5","9","8","","","","","E 6.50 CHFD 7.50 CHFC 8.00 CHFV 9.00 CHF","6/15/2022"
"Ricotta and spinach quiche with green salad vegetarian","Ornithorynque","a-","c","1","","8","8.5","9.5","9","","","","","E 8.00 CHFD 8.50 CHFC 9.00 CHFV 9.50 CHF","6/15/2022"
"[Orni'Burger] Beef, Batavia, Tomato and Potato Burger
	
Origin: Suisse","Ornithorynque","b+","d","","Suisse","0","9.5","11","10","","","","","E 0.00 CHFD 9.50 CHFC 10.00 CHFV 11.00 CHF","6/15/2022"
"Chili aux lentilles chips de tortillas et crème aigre  riz aux légumes, salade","PUUR","c","d","","","","","","","","","14.90","","14.90 CHF","6/15/2022"
"Mushroom Stroganoff with sage cream Spätzli and green salad with walnuts","PUUR","a-","d","","","","","","","","","14.90","","14.90 CHF","6/15/2022"
"Homemade fresh pasta with watercress pesto, mushrooms and artichokes, Grana Padano and arugula","PUUR","a","d","","","","","","","","","13.90","","13.90 CHF","6/15/2022"
"Beef entrecote with Bearnaise sauce, French fries and green saladOrigin: CH","PUUR","b-","e","","CH","","","","","","","0.00","","0.00 CHF","6/15/2022"
"Gnocchi al quatro fromaggi and parsley and walnut duo","Piano","b-","c","","","8","9","12","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 12.00 CHF","6/15/2022"
"Cod in a crust, olive condiment, creamy polenta
 and green vegetablesOrigin: Atlantique Nord Est","Piano","a-","d","","Atlantique Nord Est","12.5","13.5","14","13.5","","","","","E 12.50 CHFD 13.50 CHFC 13.50 CHFV 14.00 CHF","6/15/2022"
"Grillade Blanche:
Picata de poulet, frites et saladeOrigin: CH","Piano","b","e","","CH","","","","","","","13.50","","13.50 CHF","6/15/2022"
"Grillade Rouge:
Tagliata de boeuf frite saladeOrigin: CH","Piano","b","e","","CH","","","","","","","15.50","","15.50 CHF","6/15/2022"
"Grillade Végétarienne:
Steak de légumes  vegetarian","Piano","b","c","1","","","","","","","","8.50","","8.50 CHF","6/15/2022"
"Notre carte de Pizzas:
Assortiment varié (4 saisons, Reine,  buffalina...)Origin: CH","Piano","b-","e","","CH","","","","","","","13.50","","13.50 CHF","6/15/2022"
"Buffet chaud du moment:
Assortiment de légumes, ravioles, viandes braisées, gratin...Origin: CH","Piano","b-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/15/2022"
"Ham and Parmesan FocacciaOrigin: CH","Piano","c-","e","","CH","5.5","7","9","8","","","","","E 5.50 CHFD 7.00 CHFC 8.00 CHFV 9.00 CHF","6/15/2022"
"Buffet froid du moment:
Assortiment de crudités, cuidités, féculent,pizzas, protéines...Origin: CH","Piano","a-","e","","CH","","","","","2.7","","","","2.70 CHF/100g","6/15/2022"
"Salade verte Fruits frais au choixGnocchi al quatro fromaggi and parsley and walnut duo","Piano","b+","c","","","9","11","13.5","12","","","","","E 9.00 CHFD 11.00 CHFC 12.00 CHFV 13.50 CHF","6/15/2022"
"Quiche au thon
Salade du jour","Alpine","d+","d","","","7.5","8","10","9","","","","","E 7.50 CHFD 8.00 CHFC 9.00 CHFV 10.00 CHF","6/16/2022"
"Ramen bowls
Wheat noodles
Hard-boiled egg, bok choy
Asian broth","Alpine","a-","b","","","8","9","11","10","","","","","E 8.00 CHFD 9.00 CHFC 10.00 CHFV 11.00 CHF","6/16/2022"
"Green Thai Curry
Vegetables and organic Swiss Tofu
Flavoured rice","Alpine","a","b","","","10.5","11","12.5","11.5","","","","","D 11.00 CHFE 10.50 CHFC 11.50 CHFV 12.50 CHF","6/16/2022"
"Spinach Ricotta Cannelloni
Neapolitan sauce
Raw vegetable salad","Alpine","a","c","","","11.5","12","13.5","12.5","","","","","E 11.50 CHFD 12.00 CHFC 12.50 CHFV 13.50 CHF","6/16/2022"
"Cappelletti au jambon cru, sauce aux tomates San Marzano et basilicOrigin: Suisse","Arcadie","b+","c","","Suisse","","","","","2.3","","","","2.30 CHF/100g","6/16/2022"
"Fusilli aux légumes méditerranéens, pesto rosso et pousses d'épinardsOrigin: Suisse vegetarian","Arcadie","b-","c","1","Suisse vegetarian","","","","","","","12.00","","12.00 CHF","6/16/2022"
